EmployeeID,Date,FeedbackText,Sentiment_Score,Sentiment_Score_Normalized,Sentiment_Label
E001,2025-01-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E001,2025-02-28,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E001,2025-03-31,There is a lack of communication from management.,0.0,0.5,Neutral
E001,2025-04-30,Great collaboration across departments.,0.8,0.9,Positive
E001,2025-05-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E001,2025-06-30,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E001,2025-07-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E001,2025-08-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E001,2025-09-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E002,2025-01-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E002,2025-02-28,Work processes are okay but could be improved.,0.5,0.75,Positive
E002,2025-03-31,Great collaboration across departments.,0.8,0.9,Positive
E002,2025-04-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E002,2025-05-31,I enjoy coming to work every day.,0.4,0.7,Positive
E002,2025-06-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E002,2025-07-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E002,2025-08-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E002,2025-09-30,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E003,2025-01-31,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E003,2025-02-28,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E003,2025-03-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E003,2025-04-30,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E003,2025-05-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E003,2025-06-30,I enjoy coming to work every day.,0.4,0.7,Positive
E003,2025-07-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E003,2025-08-31,Workload feels overwhelming lately.,0.1,0.55,Neutral
E003,2025-09-30,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E004,2025-01-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E004,2025-02-28,There is a lack of communication from management.,0.0,0.5,Neutral
E004,2025-03-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E004,2025-04-30,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E004,2025-05-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E004,2025-06-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E004,2025-07-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E004,2025-08-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E004,2025-09-30,Great collaboration across departments.,0.8,0.9,Positive
E005,2025-01-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E005,2025-02-28,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E005,2025-03-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E005,2025-04-30,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E005,2025-05-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E005,2025-06-30,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E005,2025-07-31,There is a lack of communication from management.,0.0,0.5,Neutral
E005,2025-08-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E005,2025-09-30,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E006,2025-01-31,I enjoy coming to work every day.,0.4,0.7,Positive
E006,2025-02-28,Work processes are okay but could be improved.,0.5,0.75,Positive
E006,2025-03-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E006,2025-04-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E006,2025-05-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E006,2025-06-30,Workload feels overwhelming lately.,0.1,0.55,Neutral
E006,2025-07-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E006,2025-08-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E006,2025-09-30,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E007,2025-01-31,Workload feels overwhelming lately.,0.1,0.55,Neutral
E007,2025-02-28,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E007,2025-03-31,I enjoy coming to work every day.,0.4,0.7,Positive
E007,2025-04-30,There is a lack of communication from management.,0.0,0.5,Neutral
E007,2025-05-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E007,2025-06-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E007,2025-07-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E007,2025-08-31,Great collaboration across departments.,0.8,0.9,Positive
E007,2025-09-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E008,2025-01-31,Workload feels overwhelming lately.,0.1,0.55,Neutral
E008,2025-02-28,I enjoy coming to work every day.,0.4,0.7,Positive
