EmployeeID,Date,TasksCompleted,HoursWorked,EfficiencyScore
E001,2025-01-01,9,7.31,0.476
E001,2025-01-02,21,8.2,0.721
E001,2025-01-03,8,7.37,0.38
E001,2025-01-06,12,7.86,0.561
E001,2025-01-07,14,7.73,0.598
E001,2025-01-08,15,7.4,0.644
E001,2025-01-09,11,7.34,0.62
E001,2025-01-10,23,8.93,0.714
E001,2025-01-13,11,7.88,0.528
E001,2025-01-14,15,7.07,0.55
E001,2025-01-15,11,8.04,0.435
E001,2025-01-16,17,8.94,0.528
E001,2025-01-17,17,8.84,0.753
E001,2025-01-20,11,7.09,0.523
E001,2025-01-21,13,7.71,0.587
E001,2025-01-22,15,7.28,0.577
E001,2025-01-23,14,8.46,0.466
E001,2025-01-24,9,7.72,0.482
E001,2025-01-27,13,7.13,0.647
E001,2025-01-28,17,8.46,0.585
E001,2025-01-29,20,8.43,0.681
E001,2025-01-30,16,8.54,0.612
E001,2025-01-31,10,7.22,0.583
E001,2025-02-03,15,7.63,0.643
E001,2025-02-04,17,8.51,0.718
E001,2025-02-05,7,7.58,0.369
E001,2025-02-06,25,8.74,0.779
E001,2025-02-07,15,8.79,0.542
E001,2025-02-10,14,7.22,0.697
E001,2025-02-11,19,8.64,0.608
E001,2025-02-12,5,7.44,0.288
E001,2025-02-13,14,8.89,0.56
E001,2025-02-14,19,8.94,0.562
E001,2025-02-17,13,7.99,0.583
E001,2025-02-18,10,8.01,0.531
E001,2025-02-19,12,8.82,0.502
E001,2025-02-20,12,7.48,0.492
E001,2025-02-21,18,7.48,0.703
E001,2025-02-24,13,8.07,0.629
E001,2025-02-25,17,7.64,0.802
E001,2025-02-26,12,7.03,0.524
E001,2025-02-27,12,8.29,0.552
E001,2025-02-28,15,7.28,0.712
E001,2025-03-03,15,8.85,0.46
E001,2025-03-04,15,8.11,0.574
E001,2025-03-05,14,7.19,0.543
E001,2025-03-06,19,7.7,0.69
E001,2025-03-07,26,8.77,0.821
E001,2025-03-10,12,7.02,0.679
E001,2025-03-11,13,7.01,0.719
E001,2025-03-12,18,7.45,0.687
E001,2025-03-13,16,7.65,0.584
E001,2025-03-14,14,8.14,0.694
E001,2025-03-17,13,7.53,0.615
E001,2025-03-18,25,8.26,0.84
E001,2025-03-19,16,8.15,0.608
E001,2025-03-20,11,7.05,0.456
E001,2025-03-21,19,8.88,0.547
E001,2025-03-24,27,8.93,0.771
E001,2025-03-25,18,7.59,0.792
E001,2025-03-26,22,8.11,0.708
E001,2025-03-27,14,8.14,0.671
E001,2025-03-28,21,8.48,0.719
E001,2025-03-31,15,7.72,0.703
E001,2025-04-01,21,8.83,0.756
E001,2025-04-02,19,8.6,0.637
E001,2025-04-03,16,7.68,0.713
E001,2025-04-04,9,8.16,0.479
E001,2025-04-07,10,8.18,0.523
E001,2025-04-08,12,8.65,0.468
E001,2025-04-09,14,7.43,0.562
E001,2025-04-10,11,7.1,0.475
E001,2025-04-11,20,8.95,0.71
E001,2025-04-14,15,8.59,0.601
E001,2025-04-15,11,7.35,0.566
E001,2025-04-16,17,8.1,0.616
E001,2025-04-17,18,8.22,0.708
E001,2025-04-18,17,7.71,0.615
E001,2025-04-21,10,7.2,0.431
E001,2025-04-22,16,7.35,0.713
E001,2025-04-23,14,7.09,0.668
E001,2025-04-24,22,8.01,0.744
E001,2025-04-25,21,8.17,0.681
E001,2025-04-28,17,7.78,0.663
E001,2025-04-29,19,7.77,0.649
E001,2025-04-30,15,7.39,0.79
E001,2025-05-01,13,7.64,0.453
E001,2025-05-02,11,8.63,0.458
E001,2025-05-05,16,8.75,0.532
E001,2025-05-06,17,7.56,0.821
E001,2025-05-07,16,8.55,0.639
E001,2025-05-08,20,8.72,0.737
E001,2025-05-09,20,8.81,0.708
E001,2025-05-12,22,7.64,0.771
E001,2025-05-13,20,8.9,0.576
E001,2025-05-14,16,8.26,0.63
E001,2025-05-15,19,8.5,0.613
E001,2025-05-16,15,7.18,0.684
E001,2025-05-19,9,8.78,0.358
E001,2025-05-20,15,7.29,0.574
E001,2025-05-21,20,8.64,0.656
E001,2025-05-22,13,7.17,0.482
E001,2025-05-23,22,8.89,0.642
E001,2025-05-26,14,7.75,0.706
E001,2025-05-27,14,8.81,0.637
E001,2025-05-28,15,7.02,0.708
E001,2025-05-29,16,8.17,0.525
E001,2025-05-30,17,7.57,0.623
E001,2025-06-02,12,8.99,0.529
E001,2025-06-03,20,8.94,0.702
E001,2025-06-04,18,8.26,0.66
E001,2025-06-05,18,7.09,0.879
E001,2025-06-06,19,8.24,0.799
E001,2025-06-09,13,7.93,0.56
E001,2025-06-10,17,8.63,0.568
E001,2025-06-11,17,8.82,0.52
E001,2025-06-12,25,7.84,0.841
E001,2025-06-13,15,7.09,0.845
E001,2025-06-16,18,7.76,0.598
E001,2025-06-17,19,8.68,0.706
E001,2025-06-18,19,8.73,0.592
E001,2025-06-19,24,8.99,0.818
E001,2025-06-20,20,7.26,0.717
E001,2025-06-23,15,7.46,0.589
E001,2025-06-24,17,8.34,0.632
E001,2025-06-25,21,8.04,0.717
E001,2025-06-26,14,7.81,0.699
E001,2025-06-27,13,8.51,0.456
E001,2025-06-30,14,7.03,0.683
E001,2025-07-01,15,7.78,0.644
E001,2025-07-02,20,8.57,0.791
E001,2025-07-03,19,8.72,0.564
E001,2025-07-04,11,7.52,0.491
E001,2025-07-07,20,7.99,0.847
E001,2025-07-08,13,7.26,0.669
E001,2025-07-09,12,7.28,0.488
E001,2025-07-10,15,7.95,0.541
E001,2025-07-11,9,7.38,0.485
E001,2025-07-14,8,7.18,0.456
E001,2025-07-15,13,7.41,0.579
E001,2025-07-16,18,8.6,0.618
E001,2025-07-17,15,8.75,0.465
E001,2025-07-18,11,8.5,0.498
E001,2025-07-21,11,7.74,0.479
E001,2025-07-22,13,8.49,0.633
E001,2025-07-23,13,8.43,0.416
E001,2025-07-24,14,7.89,0.575
E001,2025-07-25,12,7.54,0.525
E001,2025-07-28,7,7.65,0.384
E001,2025-07-29,21,8.19,0.73
E001,2025-07-30,18,8.07,0.681
E001,2025-07-31,14,7.86,0.708
E001,2025-08-01,14,8.14,0.604
E001,2025-08-04,17,8.21,0.73
E001,2025-08-05,8,7.32,0.442
E001,2025-08-06,14,7.35,0.501
E001,2025-08-07,7,8.96,0.331
E001,2025-08-08,20,8.94,0.608
E001,2025-08-11,22,8.34,0.692
E001,2025-08-12,14,8.14,0.604
E001,2025-08-13,17,7.85,0.681
E001,2025-08-14,11,7.23,0.463
E001,2025-08-15,12,7.96,0.473
E001,2025-08-18,9,7.67,0.455
E001,2025-08-19,12,8.36,0.415
E001,2025-08-20,16,7.94,0.679
E001,2025-08-21,10,7.36,0.558
E001,2025-08-22,21,8.15,0.698
E001,2025-08-25,8,7.33,0.441
E001,2025-08-26,20,8.33,0.747
E001,2025-08-27,14,8.63,0.537
E001,2025-08-28,14,7.93,0.604
E001,2025-08-29,16,8.8,0.612
E001,2025-09-01,18,8.81,0.616
E001,2025-09-02,9,7.67,0.467
E001,2025-09-03,19,8.24,0.733
E001,2025-09-04,15,7.62,0.716
E001,2025-09-05,16,7.07,0.705
E001,2025-09-08,15,8.64,0.673
E001,2025-09-09,17,7.25,0.761
E001,2025-09-10,20,8.44,0.68
E001,2025-09-11,17,8.39,0.616
E001,2025-09-12,13,8.82,0.45
E001,2025-09-15,16,7.92,0.529
E001,2025-09-16,9,8.22,0.475
E001,2025-09-17,25,8.86,0.855
E001,2025-09-18,16,7.31,0.67
E001,2025-09-19,18,7.85,0.648
E001,2025-09-22,21,7.23,0.737
E001,2025-09-23,20,7.25,0.745
E001,2025-09-24,16,7.8,0.844
E001,2025-09-25,11,8.61,0.552
E001,2025-09-26,15,8.84,0.567
E001,2025-09-29,11,8.48,0.412
E001,2025-09-30,10,7.35,0.428
E002,2025-01-01,12,8.83,0.469
E002,2025-01-02,11,8.92,0.474
E002,2025-01-03,14,7.17,0.502
E002,2025-01-06,11,8.5,0.47
E002,2025-01-07,13,7.41,0.632
E002,2025-01-08,12,7.13,0.493
E002,2025-01-09,11,8.05,0.435
E002,2025-01-10,11,7.36,0.417
E002,2025-01-13,14,7.75,0.653
E002,2025-01-14,13,7.31,0.534
E002,2025-01-15,11,7.05,0.553
